종가,저가,고가,시가,MA5,WMA,PER,foreign_보유수량,MA20
43600,43350,44150,43700,43960.0,44201.81818181818,7.27,3365513941,45302.5
44150,44000,44500,44150,43730.0,44116.36363636364,7.36,3366147302,45282.5
44050,43700,44450,43950,43920.0,44052.72727272727,7.35,3367157272,45282.5
43900,43450,44150,43900,43900.0,43991.81818181818,7.32,3368716870,45185.0
43550,43200,43950,43450,43850.0,43881.81818181818,7.26,3367438183,45105.0
43050,42550,43450,43300,43740.0,43701.81818181818,7.18,3367058905,44982.5
42550,42250,43100,43050,43420.0,43465.454545454544,7.1,3365744444,44802.5
41000,40550,41550,40600,42810.0,42997.27272727273,6.84,3362373111,44490.0
41000,40400,41300,41100,42230.0,42567.27272727273,6.84,3355759560,44170.0
41400,40550,41950,40850,41800.0,42264.545454545456,6.9,3353945023,43865.0
42350,41000,43000,41400,41660.0,42178.181818181816,7.06,3352268962,43660.0
42400,41700,43350,42900,41630.0,42123.63636363636,7.07,3350942487,43462.5
42150,42150,42950,42450,41860.0,42055.454545454544,7.03,3351505930,43285.0
44150,42800,44250,43050,42490.0,42385.454545454544,7.36,3353388681,43257.5
43800,42900,43800,43750,42970.0,42647.27272727273,7.3,3356730418,43212.5
43750,42950,43800,43750,43250.0,42895.454545454544,7.3,3358510653,43152.5
44000,43400,44500,43600,43570.0,43176.36363636364,7.34,3358855574,43087.5
44050,44050,45050,44900,43950.0,43440.0,7.35,3359363071,43135.0
44300,43900,44850,44450,43980.0,43693.63636363636,7.39,3360650150,43150.0
45200,43700,45250,43850,44260.0,44050.90909090909,7.54,3361543160,43220.0
44500,43400,44500,43900,44410.0,44211.81818181818,7.42,3363406667,43265.0
44100,43800,44500,44500,44430.0,44260.90909090909,7.35,3360471009,43262.5
44250,43500,44350,44050,44470.0,44306.36363636364,7.38,3359528649,43272.5
44000,43700,44750,44600,44410.0,44268.181818181816,7.34,3358895161,43277.5
43650,43450,44250,44050,44100.0,44169.09090909091,7.28,3358376548,43282.5
42800,42100,43000,42450,43760.0,43918.181818181816,7.14,3357253845,43270.0
42100,41800,42300,41800,43360.0,43557.27272727273,7.02,3354488490,43247.5
42450,42000,42650,42000,43000.0,43294.545454545456,7.08,3351410310,43320.0
42400,41900,42600,42450,42680.0,43051.81818181818,7.07,3350290936,43390.0
42600,42100,42800,42150,42470.0,42880.0,7.1,3349789638,43450.0
43050,42500,43100,42900,42520.0,42837.27272727273,7.18,3347322003,43485.0
43150,42750,43200,42800,42730.0,42839.09090909091,7.2,3347829134,43522.5
43150,42900,43850,43850,42870.0,42858.181818181816,7.2,3347252137,43572.5
41850,41750,44000,43450,42760.0,42660.90909090909,6.98,3347117037,43457.5
43250,42400,43400,42750,42890.0,42757.27272727273,7.21,3345263055,43430.0
42150,41900,42900,42650,42710.0,42660.90909090909,7.03,3348680965,43350.0
41450,40850,41750,40900,42370.0,42449.09090909091,6.91,3345682457,43222.5
40500,40450,41100,40600,41840.0,42076.36363636364,6.75,3340561657,43045.0
40950,40850,41400,40900,41660.0,41820.90909090909,6.83,3334358815,42877.5
40200,40000,40650,40450,41050.0,41455.454545454544,6.7,3333777084,42627.5
40250,40200,40700,40600,40670.0,41142.72727272727,6.71,3328687262,42415.0
40450,40150,40700,40250,40470.0,40917.27272727273,6.75,3328592186,42232.5
40000,40000,40750,40650,40370.0,40659.09090909091,6.67,3326558207,42020.0
38950,38700,40200,40200,39970.0,40267.27272727273,6.49,3327187106,41767.5
39150,38650,39600,38650,39760.0,39964.545454545456,6.53,3325484406,41542.5
38900,38300,39200,38300,39490.0,39690.90909090909,6.49,3325426333,41347.5
39100,38850,39350,38900,39220.0,39512.72727272727,6.52,3322571116,41197.5
38650,38500,39100,38600,38950.0,39295.454545454544,6.44,3320817503,41007.5
38650,38100,38650,38200,38890.0,39111.81818181818,6.44,3321207683,40820.0
38800,38300,39050,38500,38820.0,38997.27272727273,6.47,3316542392,40630.0
38350,38300,38750,38400,38710.0,38826.36363636364,6.39,3317382272,40395.0
38250,38100,38800,38700,38540.0,38671.81818181818,6.38,3313841197,40150.0
38700,38200,38900,38250,38550.0,38639.09090909091,6.45,3315501801,39927.5
38750,38550,39400,39400,38570.0,38639.09090909091,6.46,3318291327,39772.5
37600,37450,38550,38300,38330.0,38433.63636363636,6.27,3319573281,39490.0
37450,36850,37600,37450,38150.0,38229.09090909091,6.24,3321405841,39255.0
38750,37800,38900,38000,38250.0,38287.27272727273,6.46,3322734902,39120.0
38100,37950,39200,38000,38130.0,38233.63636363636,6.35,3324331866,39000.0
39600,38300,39600,38650,38300.0,38462.72727272727,6.6,3323035975,38932.5
39800,39600,40150,40000,38740.0,38710.90909090909,6.64,3325913645,38912.5
40500,39950,40550,40350,39350.0,39068.181818181816,6.75,3329580929,38925.0
40050,39850,40700,40450,39610.0,39304.545454545456,6.68,3332302667,38905.0
41100,39850,41100,40050,40210.0,39699.09090909091,6.85,3333854037,38960.0
