data,algorithm,rmse,r2
고가 시가 WMA PER MA20 종가,gru,920.8213541566492,0.9822476350188104
고가 시가 MA5 WMA foreign_보유수량 MA20 종가,gru,920.823774439175,0.982247541698222
PER MA20 종가,gru,920.8363524088256,0.9822470567163768
고가 시가 WMA PER foreign_보유수량 종가,lstmgru,920.8632963887308,0.9822460177870512
고가 MA5 PER foreign_보유수량 종가,lstm,920.9367891273752,0.9822431838358092
저가 고가 MA5 WMA PER foreign_보유수량 종가,gru,920.9569008961364,0.9822424082670964
고가 시가 WMA 종가,lstm,920.9575937746722,0.9822423815473686
WMA PER foreign_보유수량 종가,lstmgru,921.1603521188356,0.982234561639737
고가 WMA PER MA20 종가,gru,921.1810967008288,0.9822337614734216
고가 시가 MA5 WMA foreign_보유수량 종가,lstmgru,921.2167703047728,0.9822323854182008
시가 MA5 PER foreign_보유수량 종가,gru,921.3116622991944,0.982228724843896
고가 WMA foreign_보유수량 종가,lstmgru,921.3126000082548,0.9822286886687452
저가 고가 MA5 WMA foreign_보유수량 종가,gru,921.3212609235578,0.9822283545442674
WMA foreign_보유수량 종가,lstm,921.3817443348836,0.9822260211019164
고가 MA5 WMA PER 종가,lstm,921.5102421090636,0.9822210631656416
고가 MA5 MA20 종가,lstmgru,921.557217385532,0.9822192505069822
시가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,921.562840836214,0.9822190335058648
고가 WMA PER foreign_보유수량 종가,lstm,921.5668430170202,0.982218879066484
MA5 종가,gru,921.5829255495344,0.9822182584539848
WMA foreign_보유수량 MA20 종가,lstm,921.6175714637826,0.982216921458136
고가 시가 MA5 WMA PER foreign_보유수량 종가,lstmgru,921.6886181073208,0.9822141795904034
고가 MA5 WMA foreign_보유수량 MA20 종가,lstmgru,921.6952736493582,0.9822139227255569
MA5 foreign_보유수량 MA20 종가,lstm,921.7140322763606,0.9822131987427086
시가 MA5 WMA PER foreign_보유수량 MA20 종가,lstmgru,921.726611194084,0.9822127132553916
시가 MA5 PER MA20 종가,gru,921.7766799349,0.9822107807707968
MA5 PER 종가,gru,921.7832458037982,0.9822105273426078
고가 시가 MA5 PER foreign_보유수량 MA20 종가,lstm,921.823607409638,0.9822089694331833
MA5 MA20 종가,gru,921.8549949295696,0.9822077578655276
MA5 WMA foreign_보유수량 종가,gru,921.8758846362812,0.982206951493738
시가 MA5 WMA foreign_보유수량 종가,gru,921.8986507526738,0.9822060726691112
MA5 WMA PER foreign_보유수량 MA20 종가,lstmgru,921.9087395023596,0.9822056832131534
MA5 WMA foreign_보유수량 MA20 종가,lstm,921.944191485457,0.98220431462661
저가 고가 MA5 WMA foreign_보유수량 MA20 종가,gru,921.977564910213,0.9822030262325367
MA5 WMA PER foreign_보유수량 종가,lstm,922.0610085011932,0.9821998046560946
PER MA20 종가,lstmgru,922.0831572248534,0.9821989494928476
시가 MA5 foreign_보유수량 종가,gru,922.0903169695498,0.98219867305038
WMA MA20 종가,lstm,922.3443253818576,0.9821888642290372
고가 시가 WMA foreign_보유수량 MA20 종가,lstm,922.3756339743696,0.9821876550254002
시가 foreign_보유수량 MA20 종가,lstm,922.3803037447418,0.9821874746655374
저가 고가 foreign_보유수량 종가,gru,922.4149727811704,0.9821861356198252
고가 MA5 WMA PER foreign_보유수량 MA20 종가,lstmgru,922.529829031992,0.9821816990893728
MA5 WMA foreign_보유수량 종가,lstmgru,922.5370547030784,0.982181419966288
MA20 종가,lstm,922.5576823881491,0.9821806231198856
WMA MA20 종가,gru,922.58755845455,0.9821794689774026
고가 WMA MA20 종가,lstm,922.6724582442132,0.9821761890091534
저가 고가 시가 MA5 WMA PER MA20 종가,gru,922.7450487847703,0.982173384349799
고가 MA5 WMA MA20 종가,lstmgru,922.7650930239424,0.9821726098675536
시가 WMA foreign_보유수량 MA20 종가,gru,922.7965928488844,0.9821713927230008
MA5 PER foreign_보유수량 MA20 종가,lstm,922.8893387784698,0.98216780880459
MA5 WMA 종가,lstm,923.0171032282686,0.982162871099264
저가 고가 시가 WMA foreign_보유수량 종가,gru,923.0528239336984,0.9821614904809548
저가 고가 MA5 foreign_보유수량 종가,lstmgru,923.1300048161896,0.9821585072292246
시가 PER MA20 종가,gru,923.1702968081084,0.9821569497346851
시가 MA5 WMA PER foreign_보유수량 MA20 종가,lstm,923.318230294925,0.9821512307549032
저가 고가 MA5 WMA MA20 종가,gru,923.3346529915864,0.9821505958112396
시가 WMA PER MA20 종가,gru,923.3532912052024,0.9821498751963144
WMA foreign_보유수량 MA20 종가,gru,923.4310726096836,0.9821468677531852
저가 고가 시가 MA5 foreign_보유수량 종가,gru,923.4582400039668,0.9821458172574156
고가 PER MA20 종가,lstmgru,923.4845115978244,0.9821448013706338
저가 고가 WMA foreign_보유수량 MA20 종가,gru,923.5302161986004,0.9821430339670466
고가 시가 MA20 종가,lstm,923.534899516622,0.982142852857514
MA5 WMA foreign_보유수량 종가,lstm,923.5762620860032,0.9821412532774044
저가 고가 PER foreign_보유수량 종가,gru,923.6343376957352,0.9821390072469324
시가 MA5 PER foreign_보유수량 종가,lstmgru,923.7535224154976,0.9821343974253284
WMA 종가,gru,923.812004131245,0.9821321352544377
WMA foreign_보유수량 종가,lstmgru,923.9318885439164,0.98212749747651
시가 WMA foreign_보유수량 종가,lstm,923.9926536606316,0.9821251465230942
foreign_보유수량 MA20 종가,gru,924.0573306534347,0.982122644052481
저가 고가 시가 MA5 WMA foreign_보유수량 MA20 종가,gru,924.0657969487772,0.982122316463134
저가 고가 WMA foreign_보유수량 MA20 종가,lstm,924.1183606839928,0.982120282528854
WMA PER 종가,gru,924.124046981398,0.9821200624927456
고가 MA5 WMA PER 종가,lstmgru,924.1288654229688,0.9821198760379962
저가 고가 MA5 PER foreign_보유수량 종가,lstmgru,924.1906116710422,0.9821174866148448
