종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
41950,40570,41010,7,3337203191,62.71628758,4350,39225
42300,41010.90909,41370,7.05,3340441611,64.42262946,4850,39395
42750,41445.45455,41910,7.13,3341712761,66.54277636,4000,39577.5
42150,41698.18182,42120,7.03,3343433656,61.29761221,4050,39752.5
42000,41850,42230,7,3344034574,60.02379731,2400,39920
43050,42149.09091,42450,7.18,3341872643,65.43810614,3250,40132.5
44750,42698.18182,42940,7.46,3347801954,72.04066927,4250,40452.5
45050,43224.54545,43400,7.51,3356601247,73.02018413,5000,40792.5
45500,43741.81818,44070,7.59,3364272213,74.46526312,4400,41132.5
46400,44342.72727,44950,7.74,3368092322,77.10634801,4950,41515
46150,44808.18182,45570,7.7,3372569491,74.79220862,4200,41942.5
46350,45233.63636,45890,7.73,3379901724,75.42757192,4050,42387.5
46200,45558.18182,46120,7.7,3382827656,73.92266075,3450,42760
44800,45565.45455,45980,7.47,3384372951,61.57448066,2650,43095
45000,45560.90909,45700,7.5,3381221828,62.53722712,3000,43365
46050,45692.72727,45680,7.68,3381853886,67.18559697,3000,43677.5
46200,45797.27273,45650,7.7,3383655371,67.80026371,1450,43962.5
47500,46111.81818,45910,7.92,3383732849,72.59196638,2450,44335
46050,46118.18182,46160,7.68,3386612452,61.58383487,550,44582.5
46200,46141.81818,46400,7.7,3385431530,62.22205618,-200,44820
45950,46123.63636,46380,7.66,3384826521,60.4203903,-200,45020
46900,46281.81818,46520,7.82,3383612607,64.61349621,550,45250
46950,46439.09091,46410,7.83,3386552931,64.82471524,750,45460
47150,46619.09091,46630,7.86,3388236522,65.70647876,2350,45710
47350,46792.72727,46860,7.9,3388689578,66.60793059,2350,45977.5
46750,46814.54545,47020,7.8,3390130697,61.39403246,700,46162.5
46750,46823.63636,46990,7.8,3391161899,61.39403246,550,46262.5
45100,46522.72727,46620,7.52,3391763111,49.12882183,-2400,46265
44850,46220,46160,7.48,3390127361,47.57788285,-1200,46232.5
44250,45830,45540,7.38,3388050965,43.98870129,-1950,46125
44000,45430,44990,7.34,3386773059,42.5484204,-1950,46017.5
44450,45147.27273,44530,7.41,3387224821,45.97720569,-2450,45922.5
43800,44790.90909,44270,7.3,3388510271,42.07139858,-3150,45802.5
43650,44464.54545,44030,7.28,3388001716,41.20154862,-3500,45745
44650,44383.63636,44110,7.45,3386557046,48.801458,-2700,45727.5
43850,44206.36364,44080,7.31,3389399458,43.91159787,-2900,45617.5
43850,44081.81818,43960,7.31,3389790269,43.91159787,-2900,45500
44200,44073.63636,44040,7.37,3389051273,46.62520685,-900,45335
43700,43990.90909,44050,7.29,3385565698,43.39520627,-1150,45217.5
43900,43965.45455,43900,7.32,3382971194,45.03545291,-350,45102.5
44050,43973.63636,43940,7.35,3384166210,46.29245838,50,45007.5
45850,44308.18182,44340,7.65,3383375461,58.54437231,1400,44955
46550,44744.54545,44810,7.76,3388401264,62.15959199,2750,44935
45500,44940,45170,7.59,3391288594,54.48424409,1850,44852.5
45250,45056.36364,45440,7.55,3392267377,52.81215581,600,44747.5
45350,45180,45700,7.56,3392976741,53.42784186,1500,44677.5
44850,45185.45455,45500,7.48,3391876617,49.92061552,1000,44582.5
44650,45136.36364,45120,7.45,3392698121,48.5478055,450,44560
45050,45151.81818,45030,7.51,3392054712,51.4249298,1350,44570
45750,45270,45130,7.63,3392279209,56.05595828,1850,44645
46600,45509.09091,45380,7.77,3395689180,60.92724426,2550,44775
46950,45765.45455,45800,7.83,3399982078,62.75791973,1100,44900
46850,45983.63636,46240,7.81,3402746911,61.86604004,300,45052.5
46650,46160,46560,7.78,3404582804,60.02861044,1150,45202.5
46650,46315.45455,46740,7.78,3406702855,60.02861044,1400,45302.5
46700,46454.54545,46760,7.79,3409610830,60.36987657,1350,45445
46250,46487.27273,46620,7.71,3408906600,55.75603167,1400,45565
46850,46603.63636,46620,7.81,3410773450,60.13124104,2200,45697.5
