n_estimators,max_depth,num_leaves,learning_rate,RMSE,R2
500,10,20,0.05,1081.3986237677614,0.9751708330930747
100,10,31,0.05,1082.6832366307328,0.9751118080280875
100,-1,20,0.1,1083.7906064640706,0.9750608706412571
100,20,20,0.1,1083.7906064640706,0.9750608706412571
200,-1,31,0.03,1089.0814443547267,0.9748167811222042
200,20,31,0.03,1089.0814443547267,0.9748167811222042
200,10,31,0.03,1091.5142453005117,0.9747041464114543
100,20,20,0.03,1092.9894068078916,0.9746357264430341
100,-1,20,0.03,1092.9894068078916,0.9746357264430341
100,10,20,0.03,1092.9894068078916,0.9746357264430341
100,10,31,0.1,1095.4060557911707,0.9745234393335018
300,10,31,0.03,1095.5895800416483,0.9745149019361625
500,10,31,0.03,1098.3020484690712,0.9743885533502779
100,10,31,0.03,1099.2534429988664,0.974344162749442
100,-1,31,0.03,1099.2534429988664,0.974344162749442
100,20,31,0.03,1099.2534429988664,0.974344162749442
300,20,20,0.01,1100.2532382756572,0.9742974724252856
300,-1,20,0.01,1100.2532382756572,0.9742974724252856
300,10,20,0.01,1100.2532382756572,0.9742974724252856
200,10,31,0.05,1100.9984481702681,0.97426264359916
300,10,31,0.01,1101.1355131591038,0.9742562350341755
300,-1,31,0.01,1101.1355131591038,0.9742562350341755
300,20,31,0.01,1101.1355131591038,0.9742562350341755
200,10,31,0.1,1101.208942177928,0.9742528014832489
500,-1,20,0.05,1102.2841403224854,0.9742024988499544
500,20,20,0.05,1102.2841403224854,0.9742024988499544
200,20,31,0.05,1102.3927693332935,0.9741974139630118
200,-1,31,0.05,1102.724096733777,0.9741819015454336
100,-1,31,0.1,1103.7530246495687,0.9741336984529174
300,10,31,0.1,1104.0565158295472,0.9741194719485109
200,10,20,0.1,1104.1713419399266,0.9741140883202901
100,20,31,0.1,1105.6480762428926,0.9740448016530967
300,-1,31,0.03,1108.010407425979,0.9739337712476582
300,20,31,0.03,1108.2055508313883,0.9739245888418923
100,20,10,0.03,1109.1500641163943,0.9738801222398547
100,10,10,0.03,1109.1500641163943,0.9738801222398547
100,-1,10,0.03,1109.1500641163943,0.9738801222398547
300,10,31,0.05,1109.726206181766,0.973852979530665
300,10,20,0.1,1110.2019747465422,0.9738305549055748
500,10,31,0.05,1110.7152662162816,0.973806350916665
300,-1,10,0.01,1115.508618832731,0.973579782828888
300,20,10,0.01,1115.508618832731,0.973579782828888
300,10,10,0.01,1115.508618832731,0.973579782828888
200,20,20,0.1,1116.1358605436776,0.973550062715469
200,-1,20,0.1,1116.1358605436776,0.973550062715469
300,20,31,0.05,1123.3838040586986,0.973205427062931
300,-1,31,0.05,1129.0413147481843,0.9729348653947625
500,10,20,0.1,1131.2643483938948,0.9728281803038104
500,-1,31,0.03,1133.2648168000167,0.9727319969008997
500,10,31,0.1,1134.1786079542437,0.9726880048780538
200,-1,31,0.1,1136.503593572562,0.9725759148057112
500,20,31,0.03,1137.431643919552,0.9725311083953612
500,-1,31,0.05,1140.8979332818396,0.972363432016887
200,20,31,0.1,1141.9688692644122,0.9723115239798037
500,20,31,0.05,1144.3118270194975,0.972197791494271
300,-1,20,0.1,1146.4178758107882,0.9720953601674341
300,20,20,0.1,1146.4178758107882,0.9720953601674341
300,-1,31,0.1,1158.801478081222,0.9714892525040402
300,20,31,0.1,1159.4101162428205,0.9714592951966611
500,20,20,0.1,1179.5219198282966,0.9704605397879538
500,-1,20,0.1,1179.5219198282966,0.9704605397879538
500,-1,31,0.1,1194.55970340598,0.9697025384025594
500,20,31,0.1,1197.7833490726537,0.969538795954857
200,20,10,0.01,1638.4886164654629,0.9429996687268435
200,10,10,0.01,1638.4886164654629,0.9429996687268435
200,-1,10,0.01,1638.4886164654629,0.9429996687268435
200,10,20,0.01,1655.9030136523472,0.9417815932652204
200,-1,20,0.01,1655.9030136523472,0.9417815932652204
200,20,20,0.01,1655.9030136523472,0.9417815932652204
200,20,31,0.01,1657.2930201774673,0.941683812260682
200,10,31,0.01,1657.2930201774673,0.941683812260682
200,-1,31,0.01,1657.2930201774673,0.941683812260682
100,10,31,0.01,3890.685964710098,0.6786022149589799
100,-1,31,0.01,3890.685964710098,0.6786022149589799
100,20,31,0.01,3890.685964710098,0.6786022149589799
100,10,20,0.01,3891.021897655981,0.6785467117562821
100,20,20,0.01,3891.021897655981,0.6785467117562821
100,-1,20,0.01,3891.021897655981,0.6785467117562821
100,20,10,0.01,3938.597848633068,0.6706377646433263
100,10,10,0.01,3938.597848633068,0.6706377646433263
100,-1,10,0.01,3938.597848633068,0.6706377646433263
