data,model,rmse,r2
저가 고가 MA5 WMA PER 종가,RF,1194.2602601865278,0.9697177259772273
저가 고가 MA5 WMA PER 종가,LGBM,1605.1167159283925,0.9452979303706167
저가 고가 MA5 WMA PER 종가,KNN,2031.9172377687512,0.9123397808213088
저가 고가 MA5 WMA foreign_보유수량 종가,KNN,1252.3550803949472,0.9666999039141034
저가 고가 MA5 WMA foreign_보유수량 종가,RF,1288.7757274602307,0.9647348919375358
저가 고가 MA5 WMA foreign_보유수량 종가,LGBM,1472.7605317352559,0.9539473318477356
저가 고가 MA5 WMA MA20 종가,RF,1449.0816123797422,0.9554162890748142
저가 고가 MA5 WMA MA20 종가,LGBM,1538.7295774317438,0.9497292775535253
저가 고가 MA5 WMA MA20 종가,KNN,1549.8918158645704,0.9489972852862992
저가 고가 MA5 PER foreign_보유수량 종가,LGBM,1253.2471285623692,0.9666524479335419
저가 고가 MA5 PER foreign_보유수량 종가,RF,1329.7444339678734,0.9624571805279452
저가 고가 MA5 PER foreign_보유수량 종가,KNN,2162.912096091862,0.9006727842927131
저가 고가 MA5 PER MA20 종가,RF,1401.3054758339636,0.9583076705364705
저가 고가 MA5 PER MA20 종가,LGBM,1722.183977559766,0.9370276918894439
저가 고가 MA5 PER MA20 종가,KNN,2184.3225866791004,0.8986965873305597
저가 고가 MA5 foreign_보유수량 MA20 종가,RF,1498.9697226034339,0.9522936440488171
저가 고가 MA5 foreign_보유수량 MA20 종가,KNN,1535.5860223924178,0.9499344693719697
저가 고가 MA5 foreign_보유수량 MA20 종가,LGBM,2035.3052326901102,0.9120472098714125
저가 고가 WMA PER foreign_보유수량 종가,RF,1319.273051334688,0.9630461318176478
저가 고가 WMA PER foreign_보유수량 종가,LGBM,1414.5047238105756,0.9575185504672451
저가 고가 WMA PER foreign_보유수량 종가,KNN,2183.263688034888,0.8987947816597499
저가 고가 WMA PER MA20 종가,LGBM,1381.2495701218234,0.9594925565323482
저가 고가 WMA PER MA20 종가,RF,1443.8795020965651,0.9557358198359088
저가 고가 WMA PER MA20 종가,KNN,2207.1305213152973,0.8965699926057802
저가 고가 WMA foreign_보유수량 MA20 종가,RF,1455.3285564374714,0.9550310626339289
저가 고가 WMA foreign_보유수량 MA20 종가,LGBM,1459.9328398600653,0.9547460723369264
저가 고가 WMA foreign_보유수량 MA20 종가,KNN,1575.1237978376246,0.9473231363929225
저가 고가 PER foreign_보유수량 MA20 종가,RF,1473.193988456493,0.9539202198011351
저가 고가 PER foreign_보유수량 MA20 종가,LGBM,1990.5237432610218,0.9158749670381869
저가 고가 PER foreign_보유수량 MA20 종가,KNN,2286.812588968687,0.8889671029377999
저가 시가 MA5 WMA PER 종가,RF,1251.052110816304,0.966769159737065
저가 시가 MA5 WMA PER 종가,LGBM,1546.6122455672203,0.9492129003610003
저가 시가 MA5 WMA PER 종가,KNN,2052.682803362857,0.9105389047615142
저가 시가 MA5 WMA foreign_보유수량 종가,KNN,1315.8025698033275,0.9632402978890275
저가 시가 MA5 WMA foreign_보유수량 종가,RF,1356.40636379993,0.9609365892543043
저가 시가 MA5 WMA foreign_보유수량 종가,LGBM,1437.3503627265763,0.9561352348349047
저가 시가 MA5 WMA MA20 종가,KNN,1559.1795941303897,0.9483841828264178
저가 시가 MA5 WMA MA20 종가,RF,1583.3332985364161,0.9467726047969617
저가 시가 MA5 WMA MA20 종가,LGBM,1674.1271564555773,0.9404930891767339
저가 시가 MA5 PER foreign_보유수량 종가,LGBM,1299.123445758014,0.9641663238607795
저가 시가 MA5 PER foreign_보유수량 종가,RF,1346.195884377923,0.9615224829040936
저가 시가 MA5 PER foreign_보유수량 종가,KNN,2164.258365482237,0.9005490965971591
저가 시가 MA5 PER MA20 종가,RF,1430.13458587005,0.9565745485524126
저가 시가 MA5 PER MA20 종가,LGBM,1768.4013526936808,0.933602427822637
저가 시가 MA5 PER MA20 종가,KNN,2196.5918268479722,0.8975553579091547
저가 시가 MA5 foreign_보유수량 MA20 종가,RF,1524.9134845489316,0.9506279758787028
저가 시가 MA5 foreign_보유수량 MA20 종가,KNN,1563.205965746158,0.9481172568079698
저가 시가 MA5 foreign_보유수량 MA20 종가,LGBM,2114.7506780248655,0.9050469610946646
저가 시가 WMA PER foreign_보유수량 종가,RF,1276.0346868715903,0.9654287181296117
저가 시가 WMA PER foreign_보유수량 종가,LGBM,1742.4513751185098,0.9355368003783281
저가 시가 WMA PER foreign_보유수량 종가,KNN,2190.553418362259,0.8981178222891629
저가 시가 WMA PER MA20 종가,RF,1368.893165019684,0.9602140591244275
저가 시가 WMA PER MA20 종가,LGBM,1485.2305576577432,0.9531641641966733
저가 시가 WMA PER MA20 종가,KNN,2205.6209444887236,0.8967114270574583
저가 시가 WMA foreign_보유수량 MA20 종가,LGBM,1487.2265706978976,0.9530381935100342
저가 시가 WMA foreign_보유수량 MA20 종가,RF,1498.210029607908,0.9523419879212239
저가 시가 WMA foreign_보유수량 MA20 종가,KNN,1606.865564666116,0.9451786645745034
저가 시가 PER foreign_보유수량 MA20 종가,RF,1547.1365575230773,0.9491784601873834
저가 시가 PER foreign_보유수량 MA20 종가,LGBM,1988.0442396746457,0.9160844178495273
저가 시가 PER foreign_보유수량 MA20 종가,KNN,2285.864447815659,0.8890591551115674
저가 MA5 WMA PER foreign_보유수량 종가,RF,1312.5698097719958,0.963420703850905
저가 MA5 WMA PER foreign_보유수량 종가,LGBM,1509.172163273279,0.9516420262812616
저가 MA5 WMA PER foreign_보유수량 종가,KNN,2220.791721128086,0.8952856545473094
저가 MA5 WMA PER MA20 종가,RF,1505.386588809667,0.9518843221831084
저가 MA5 WMA PER MA20 종가,LGBM,1526.4075406740149,0.9505311825697701
저가 MA5 WMA PER MA20 종가,KNN,2226.6562937418953,0.894731873904278
저가 MA5 WMA foreign_보유수량 MA20 종가,LGBM,1283.9021933350052,0.9650010992332135
저가 MA5 WMA foreign_보유수량 MA20 종가,RF,1459.6340313670776,0.9547645949343209
저가 MA5 WMA foreign_보유수량 MA20 종가,KNN,1657.911182930182,0.941640300802251
저가 MA5 PER foreign_보유수량 MA20 종가,RF,1449.0911802294675,0.9554157003272227
저가 MA5 PER foreign_보유수량 MA20 종가,LGBM,1749.0589166835641,0.9350469722135535
저가 MA5 PER foreign_보유수량 MA20 종가,KNN,2308.372588772059,0.8868636040207847
저가 WMA PER foreign_보유수량 MA20 종가,LGBM,1261.3025471253059,0.9662223782256366
저가 WMA PER foreign_보유수량 MA20 종가,RF,1454.401454606073,0.9550883383668414
저가 WMA PER foreign_보유수량 MA20 종가,KNN,2322.48519413574,0.8854760204027067
고가 시가 MA5 WMA PER 종가,RF,1226.2676561994544,0.9680727825669285
고가 시가 MA5 WMA PER 종가,LGBM,1646.0628155721147,0.9424714627549161
고가 시가 MA5 WMA PER 종가,KNN,2029.1686661665128,0.9125767761326744
고가 시가 MA5 WMA foreign_보유수량 종가,KNN,1282.3438102305417,0.9650860100541885
고가 시가 MA5 WMA foreign_보유수량 종가,RF,1287.9489369103244,0.9647801247968166
고가 시가 MA5 WMA foreign_보유수량 종가,LGBM,1589.3910323460327,0.94636453631962
고가 시가 MA5 WMA MA20 종가,RF,1515.7042436708514,0.951222509170658
고가 시가 MA5 WMA MA20 종가,KNN,1548.9024411669425,0.9490623797517153
고가 시가 MA5 WMA MA20 종가,LGBM,1730.9981186978948,0.9363814575914917
고가 시가 MA5 PER foreign_보유수량 종가,RF,1327.1383693425664,0.9626041909423614
고가 시가 MA5 PER foreign_보유수량 종가,LGBM,1334.3442793498277,0.9621969954178331
고가 시가 MA5 PER foreign_보유수량 종가,KNN,2141.9170801857954,0.9025917298494518
고가 시가 MA5 PER MA20 종가,RF,1456.6786722347804,0.9549475881024008
고가 시가 MA5 PER MA20 종가,LGBM,1657.1499161600043,0.941693882803848
고가 시가 MA5 PER MA20 종가,KNN,2196.608769431253,0.8975537775667781
고가 시가 MA5 foreign_보유수량 MA20 종가,RF,1493.555168527937,0.9526376698300068
고가 시가 MA5 foreign_보유수량 MA20 종가,KNN,1550.3273976492112,0.9489686136396176
고가 시가 MA5 foreign_보유수량 MA20 종가,LGBM,2180.966847011993,0.8990076098454103
고가 시가 WMA PER foreign_보유수량 종가,RF,1298.6027244356278,0.964195044179416
고가 시가 WMA PER foreign_보유수량 종가,LGBM,1723.9091144343063,0.9369014681371934
고가 시가 WMA PER foreign_보유수량 종가,KNN,2165.944028803974,0.900394118774235
고가 시가 WMA PER MA20 종가,RF,1366.1765495868074,0.9603718155607117
고가 시가 WMA PER MA20 종가,LGBM,1548.315692660058,0.9491009643789847
고가 시가 WMA PER MA20 종가,KNN,2205.5998475558417,0.8967134029741948
고가 시가 WMA foreign_보유수량 MA20 종가,LGBM,1499.738195855664,0.952244716501548
고가 시가 WMA foreign_보유수량 MA20 종가,RF,1542.9407113282368,0.9494537432062072
고가 시가 WMA foreign_보유수량 MA20 종가,KNN,1587.6015940288028,0.9464852408198858
고가 시가 PER foreign_보유수량 MA20 종가,RF,1529.3293631866927,0.9503416166279153
고가 시가 PER foreign_보유수량 MA20 종가,LGBM,1924.401308274597,0.921371170651797
고가 시가 PER foreign_보유수량 MA20 종가,KNN,2287.6639914448133,0.8888844103010274
고가 MA5 WMA PER foreign_보유수량 종가,RF,1296.1858616662419,0.9643281951980998
고가 MA5 WMA PER foreign_보유수량 종가,LGBM,1499.0520392928913,0.9522884042670441
고가 MA5 WMA PER foreign_보유수량 종가,KNN,2164.7970046194437,0.9004995878918586
고가 MA5 WMA PER MA20 종가,RF,1397.9136407379974,0.9585092573628956
고가 MA5 WMA PER MA20 종가,LGBM,1428.1667111903857,0.9566939737495859
고가 MA5 WMA PER MA20 종가,KNN,2247.9705532654707,0.8927069085539125
고가 MA5 WMA foreign_보유수량 MA20 종가,RF,1489.0158908502196,0.9529251236422167
고가 MA5 WMA foreign_보유수량 MA20 종가,LGBM,1526.0668076005454,0.9505532655069255
고가 MA5 WMA foreign_보유수량 MA20 종가,KNN,1652.9115632643463,0.9419917506995656
고가 MA5 PER foreign_보유수량 MA20 종가,RF,1534.731472724206,0.9499901765450155
고가 MA5 PER foreign_보유수량 MA20 종가,LGBM,1937.6599872312784,0.9202839694096522
