³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2019-03-05,60099,0.0,6.36,0,0.0,0
2019-03-06,60099,0.0,6.29,0,0.0,0
2019-03-07,60099,0.0,6.24,0,0.0,0
2019-03-08,60099,0.0,6.21,0,0.0,0
2019-03-11,60099,0.0,6.11,0,0.0,0
2019-03-12,60099,0.0,6.16,0,0.0,0
2019-03-13,60099,0.0,6.11,0,0.0,0
2019-03-14,60099,0.0,5.92,0,0.0,0
2019-03-15,60099,0.0,5.67,0,0.0,0
2019-03-18,60099,0.0,5.65,0,0.0,0
2019-03-19,60099,0.0,5.82,0,0.0,0
2019-03-20,60099,0.0,5.85,0,0.0,0
2019-03-21,60099,0.0,5.8,0,0.0,0
2019-03-22,60099,0.0,5.63,0,0.0,0
2019-03-25,60099,0.0,5.59,0,0.0,0
2019-03-26,60099,0.0,5.59,0,0.0,0
2019-03-27,60099,0.0,5.4,0,0.0,0
2019-03-28,60099,0.0,5.32,0,0.0,0
2019-03-29,60099,0.0,5.32,0,0.0,0
2019-04-01,60099,0.0,5.45,0,0.0,0
2019-04-02,60099,0.0,5.81,0,0.0,0
2019-04-03,60099,0.0,5.84,0,0.0,0
2019-04-04,60099,0.0,5.75,0,0.0,0
2019-04-05,60099,0.0,5.72,0,0.0,0
2019-04-08,60099,0.0,5.75,0,0.0,0
2019-04-09,60099,0.0,5.93,0,0.0,0
2019-04-10,60099,0.0,6.05,0,0.0,0
2019-04-11,60099,0.0,6.07,0,0.0,0
2019-04-12,60099,0.0,6.08,0,0.0,0
2019-04-15,60099,0.0,6.11,0,0.0,0
2019-04-16,60099,0.0,6.1,0,0.0,0
2019-04-17,60099,0.0,6.14,0,0.0,0
2019-04-18,60099,0.0,5.99,0,0.0,0
2019-04-19,60099,0.0,6.16,0,0.0,0
2019-04-22,60099,0.0,6.26,0,0.0,0
2019-04-23,60099,0.0,6.16,0,0.0,0
2019-04-24,60099,0.0,6.02,0,0.0,0
2019-04-25,60099,0.0,5.63,0,0.0,0
2019-04-26,60099,0.0,5.75,0,0.0,0
2019-04-29,60099,0.0,5.78,0,0.0,0
2019-04-30,60099,0.0,5.66,0,0.0,0
2019-05-02,62805,99.5,5.37,3387,0.0,0
2019-05-03,62805,98.61,5.32,3387,0.0,0
2019-05-07,62805,95.36,5.14,3387,0.0,0
