n_neighbors,weights,metric,leaf_size,RMSE,R2
20,distance,manhattan,30,1029.86221252337,0.977481017177357
20,distance,manhattan,50,1029.86221252337,0.977481017177357
20,distance,manhattan,20,1029.910247222247,0.9774789164734535
20,distance,manhattan,10,1029.9384172253694,0.9774776844677108
15,distance,manhattan,10,1031.5423526815634,0.9774074813016426
15,distance,manhattan,20,1031.7717627329985,0.9773974312495146
15,distance,manhattan,30,1031.8031095285392,0.9773960578278146
15,distance,manhattan,50,1031.8031095285392,0.9773960578278146
25,distance,manhattan,20,1040.83374272823,0.9769986540956689
25,distance,manhattan,10,1041.2624862319178,0.9769797006195194
25,distance,manhattan,30,1041.3970697137274,0.9769737494740544
25,distance,manhattan,50,1041.3970697137274,0.9769737494740544
25,distance,euclidean,20,1042.201527951011,0.9769381611052679
25,distance,minkowski,20,1042.201527951011,0.9769381611052679
25,distance,euclidean,50,1042.3764953343841,0.9769304170975923
25,distance,euclidean,30,1042.3764953343841,0.9769304170975923
25,distance,minkowski,50,1042.3764953343841,0.9769304170975923
25,distance,minkowski,30,1042.3764953343841,0.9769304170975923
25,distance,euclidean,10,1042.6845996345894,0.9769167773269514
25,distance,minkowski,10,1042.6845996345894,0.9769167773269514
10,distance,euclidean,10,1055.0083284103423,0.9763679009134001
10,distance,minkowski,10,1055.0083284103423,0.9763679009134001
10,distance,minkowski,20,1055.603782962776,0.9763412171200468
10,distance,euclidean,20,1055.603782962776,0.9763412171200468
10,distance,euclidean,50,1055.9753311485747,0.9763245594971692
10,distance,euclidean,30,1055.9753311485747,0.9763245594971692
10,distance,minkowski,50,1055.9753311485747,0.9763245594971692
10,distance,minkowski,30,1055.9753311485747,0.9763245594971692
10,distance,manhattan,10,1056.0654710275069,0.976320517371633
10,distance,manhattan,20,1056.46519773776,0.9763025883449012
10,distance,manhattan,50,1056.5933067837354,0.9762968408070316
10,distance,manhattan,30,1056.5933067837354,0.9762968408070316
20,uniform,manhattan,30,1058.0149896065006,0.9762330110530152
20,uniform,manhattan,50,1058.0149896065006,0.9762330110530152
20,uniform,manhattan,10,1058.0895297840696,0.9762296620305518
20,uniform,minkowski,10,1058.2827093067708,0.976220981552013
20,uniform,euclidean,10,1058.2827093067708,0.976220981552013
20,uniform,manhattan,20,1058.324929999555,0.9762190841636296
20,uniform,minkowski,50,1058.429919752661,0.9762143656197211
20,uniform,euclidean,30,1058.429919752661,0.9762143656197211
20,uniform,euclidean,50,1058.429919752661,0.9762143656197211
20,uniform,minkowski,30,1058.429919752661,0.9762143656197211
20,uniform,minkowski,20,1058.734585555763,0.9762006704052694
20,uniform,euclidean,20,1058.734585555763,0.9762006704052694
30,distance,manhattan,10,1062.6712717362682,0.9760233555662414
30,distance,manhattan,30,1062.8208517095766,0.9760166052600278
30,distance,manhattan,50,1062.8208517095766,0.9760166052600278
30,distance,manhattan,20,1062.9289885727085,0.9760117246237329
30,distance,euclidean,10,1065.3985729574738,0.9759001275357171
30,distance,minkowski,10,1065.3985729574738,0.9759001275357171
30,distance,minkowski,30,1065.5179765889104,0.9758947252879284
30,distance,minkowski,50,1065.5179765889104,0.9758947252879284
30,distance,euclidean,30,1065.5179765889104,0.9758947252879284
30,distance,euclidean,50,1065.5179765889104,0.9758947252879284
30,distance,minkowski,20,1065.611831853274,0.9758904785147693
30,distance,euclidean,20,1065.611831853274,0.9758904785147693
25,uniform,minkowski,20,1129.5770880245648,0.9729091724174729
25,uniform,euclidean,20,1129.5770880245648,0.9729091724174729
25,uniform,minkowski,30,1129.8617135352038,0.9728955182593386
25,uniform,minkowski,50,1129.8617135352038,0.9728955182593386
25,uniform,euclidean,30,1129.8617135352038,0.9728955182593386
25,uniform,euclidean,50,1129.8617135352038,0.9728955182593386
25,uniform,manhattan,20,1130.0753605145053,0.9728852668487916
25,uniform,euclidean,10,1130.293288101399,0.9728748080451899
25,uniform,minkowski,10,1130.293288101399,0.9728748080451899
