n_estimators,max_depth,min_samples_leaf,min_samples_split,RMSE,R2
100,30,1,2,1131.4816050389145,0.9728177427341157
300,10,5,5,1131.5202323596252,0.9728158867681207
100,30,1,5,1132.1954406875382,0.9727834341162683
300,15,1,2,1132.9969564188195,0.9727448855998189
100,20,5,2,1134.0506597992473,0.9726941667334266
500,,1,10,1134.4135487115852,0.9726766885556141
500,10,1,10,1134.8482013698738,0.9726557465893435
200,30,1,2,1134.9110582986666,0.9726527174205309
100,20,1,5,1135.3306979517665,0.9726324900630671
100,,1,2,1135.9281660133875,0.9726036781661319
100,,1,10,1136.0596323545462,0.9725973363872746
200,,1,2,1136.47132627963,0.9725774720175553
300,10,1,10,1137.7848589207035,0.9725140455131841
100,10,1,2,1138.6517045597113,0.9724721480388114
100,,5,5,1138.9001607308933,0.9724601334589984
300,30,1,10,1139.3371867918652,0.972438993856063
300,15,1,10,1139.7609656842872,0.97241848729321
300,20,1,2,1139.7691987198516,0.9724180888230008
500,30,1,10,1140.069381789184,0.9724035583144136
500,20,1,2,1140.4773470536563,0.9723838044219301
200,15,1,10,1140.7551152817791,0.9723703506942014
300,10,1,2,1141.1260521965723,0.9723523792241944
100,15,5,5,1141.2245739611546,0.9723476049751675
100,,1,5,1141.4050335311294,0.9723388590473822
300,20,1,10,1141.9109829113897,0.9723143309639837
100,15,1,10,1142.045738194502,0.9723077962859614
500,10,1,2,1142.2155413389394,0.972299560936569
200,10,1,10,1143.1136832301288,0.9722559812352435
300,,1,2,1143.2483628794284,0.9722494433468613
500,15,1,2,1144.2018193941212,0.9722031367294675
500,,1,2,1144.6641519566285,0.9721806686801936
200,30,1,10,1145.1215684399842,0.97215843060593
500,15,1,10,1145.236417033539,0.9721528456522912
500,20,1,10,1148.77891322674,0.9719803030948491
300,30,1,2,1148.866511552078,0.9719760297362797
200,,1,10,1149.0357675363261,0.971967771902984
500,30,1,2,1149.2995497695802,0.971954899801523
200,15,1,2,1150.907724775542,0.9718763598184161
300,,1,10,1151.4390088335667,0.971850388856446
100,20,1,2,1159.9991129259367,0.971430289670174
100,10,1,10,1160.6505238535422,0.971398193357677
200,20,1,2,1160.8174398352503,0.9713899661750349
100,30,1,10,1163.7294054361848,0.9712462468840949
100,20,1,10,1171.7678072923347,0.9708476447772905
100,15,5,15,1191.326671450694,0.9698663144090488
200,10,5,15,1203.0459903748801,0.9692705361635231
100,15,5,25,1209.2139019298381,0.9689546338864402
100,20,1,15,1209.5641038657236,0.9689366491086537
300,5,1,15,1212.0609662194431,0.9688082706880994
500,10,5,15,1213.1161821783883,0.968753936229875
100,10,5,30,1214.8833586830438,0.9686628360883003
