종가,시가,고가,저가,WMA,PER,MA5,MA20,foreign_보유수량,업종
46400,44800,46400,44800,44342.72727,7.74,44950,41515,3368092322,IT
46150,46650,47050,46150,44808.18182,7.7,45570,41942.5,3372569491,IT
46350,46650,46950,46250,45233.63636,7.73,45890,42387.5,3379901724,IT
46200,46800,47100,46200,45558.18182,7.7,46120,42760,3382827656,IT
44800,45700,45700,44650,45565.45455,7.47,45980,43095,3384372951,IT
45000,44500,45000,44250,45560.90909,7.5,45700,43365,3381221828,IT
46050,44650,46250,44650,45692.72727,7.68,45680,43677.5,3381853886,IT
46200,46400,46700,46000,45797.27273,7.7,45650,43962.5,3383655371,IT
47500,46600,47500,46150,46111.81818,7.92,45910,44335,3383732849,IT
46050,46750,46850,45650,46118.18182,7.68,46160,44582.5,3386612452,IT
46200,46500,46850,45850,46141.81818,7.7,46400,44820,3385431530,IT
45950,45850,46150,45450,46123.63636,7.66,46380,45020,3384826521,IT
46900,46750,47100,46500,46281.81818,7.82,46520,45250,3383612607,IT
46950,46500,47200,46200,46439.09091,7.83,46410,45460,3386552931,IT
47150,46500,47150,46450,46619.09091,7.86,46630,45710,3388236522,IT
47350,47400,47550,47050,46792.72727,7.9,46860,45977.5,3388689578,IT
46750,47350,47450,46500,46814.54545,7.8,47020,46162.5,3390130697,IT
46750,47000,47250,46750,46823.63636,7.8,46990,46262.5,3391161899,IT
45100,46400,46500,45100,46522.72727,7.52,46620,46265,3391763111,IT
44850,46000,46100,44800,46220,7.48,46160,46232.5,3390127361,IT
44250,44600,45100,44150,45830,7.38,45540,46125,3388050965,IT
44000,44000,44300,43700,45430,7.34,44990,46017.5,3386773059,IT
44450,43400,44950,43400,45147.27273,7.41,44530,45922.5,3387224821,IT
43800,44450,44800,43800,44790.90909,7.3,44270,45802.5,3388510271,IT
43650,44400,44450,43650,44464.54545,7.28,44030,45745,3388001716,IT
44650,44300,44950,44150,44383.63636,7.45,44110,45727.5,3386557046,IT
43850,44250,44450,43700,44206.36364,7.31,44080,45617.5,3389399458,IT
43850,43700,44300,43550,44081.81818,7.31,43960,45500,3389790269,IT
44200,43800,44250,43700,44073.63636,7.37,44040,45335,3389051273,IT
43700,43950,44150,43450,43990.90909,7.29,44050,45217.5,3385565698,IT
43900,43750,43900,43550,43965.45455,7.32,43900,45102.5,3382971194,IT
44050,43800,44200,43100,43973.63636,7.35,43940,45007.5,3384166210,IT
45850,44600,46250,44050,44308.18182,7.65,44340,44955,3383375461,IT
46550,46850,47000,46250,44744.54545,7.76,44810,44935,3388401264,IT
45500,45300,45650,44800,44940,7.59,45170,44852.5,3391288594,IT
45250,45500,45700,44900,45056.36364,7.55,45440,44747.5,3392267377,IT
45350,44750,45600,44250,45180,7.56,45700,44677.5,3392976741,IT
44850,44950,45200,44300,45185.45455,7.48,45500,44582.5,3391876617,IT
44650,44500,44900,44200,45136.36364,7.45,45120,44560,3392698121,IT
45050,45200,45450,44850,45151.81818,7.51,45030,44570,3392054712,IT
45750,45550,46100,45350,45270,7.63,45130,44645,3392279209,IT
46600,46750,46750,45800,45509.09091,7.77,45380,44775,3395689180,IT
46950,46150,47100,46150,45765.45455,7.83,45800,44900,3399982078,IT
46850,46950,47550,46600,45983.63636,7.81,46240,45052.5,3402746911,IT
46650,47250,47250,46150,46160,7.78,46560,45202.5,3404582804,IT
46650,46700,46950,46200,46315.45455,7.78,46740,45302.5,3406702855,IT
46700,46400,46700,46050,46454.54545,7.79,46760,45445,3409610830,IT
46250,46700,46800,46150,46487.27273,7.71,46620,45565,3408906600,IT
46850,46050,46900,46000,46603.63636,7.81,46620,45697.5,3410773450,IT
47050,47150,47500,47000,46716.36364,7.85,46700,45865,3412569100,IT
47250,47400,47400,46800,46829.09091,7.88,46820,46032.5,3414649076,IT
