n_estimators,max_depth,num_leaves,learning_rate,RMSE,R2
300,-1,20,0.1,1024.6673964410622,0.9777076240638203
300,10,31,0.1,1024.7930110695393,0.9777021580556835
200,-1,31,0.1,1024.803116978643,0.977701718276972
500,-1,31,0.05,1027.659748862681,0.977577232392173
500,20,31,0.05,1027.9750210783607,0.9775634722735878
300,20,31,0.1,1030.0478192883575,0.9774728994852184
300,-1,31,0.1,1030.6302991352297,0.9774474146642962
500,10,20,0.1,1031.5741513888431,0.9774060883894466
500,10,31,0.1,1032.6324178297066,0.977359707539507
500,-1,20,0.1,1034.7628683444502,0.9772661916313882
500,20,20,0.1,1034.7628683444502,0.9772661916313882
500,20,31,0.1,1039.5927369215829,0.97705347127809
500,-1,31,0.1,1039.675018933869,0.9770498387762253
100,10,20,0.03,1050.8498697720734,0.9765538320109022
100,-1,20,0.03,1050.8498697720734,0.9765538320109022
100,20,20,0.03,1050.8498697720734,0.9765538320109022
100,20,31,0.03,1053.8368543892668,0.9764203536175536
100,10,31,0.03,1053.8368543892668,0.9764203536175536
100,-1,31,0.03,1053.8368543892668,0.9764203536175536
300,20,20,0.01,1056.05952439274,0.9763207840460808
300,10,20,0.01,1056.05952439274,0.9763207840460808
300,-1,20,0.01,1056.05952439274,0.9763207840460808
100,20,10,0.03,1057.91086079909,0.9762376890707257
100,-1,10,0.03,1057.91086079909,0.9762376890707257
100,10,10,0.03,1057.91086079909,0.9762376890707257
300,-1,31,0.01,1058.7628187929283,0.9761994010766101
300,10,31,0.01,1058.7628187929283,0.9761994010766101
300,20,31,0.01,1058.7628187929283,0.9761994010766101
300,-1,10,0.01,1065.8131302943236,0.9758813688796473
300,20,10,0.01,1065.8131302943236,0.9758813688796473
300,10,10,0.01,1065.8131302943236,0.9758813688796473
200,20,20,0.01,1627.5421926904362,0.9437587408761585
200,10,20,0.01,1627.5421926904362,0.9437587408761585
200,-1,20,0.01,1627.5421926904362,0.9437587408761585
200,-1,31,0.01,1629.201909800396,0.9436439762016346
200,20,31,0.01,1629.201909800396,0.9436439762016346
200,10,31,0.01,1629.201909800396,0.9436439762016346
200,-1,10,0.01,1661.0776095105844,0.9414171668123213
200,10,10,0.01,1661.0776095105844,0.9414171668123213
200,20,10,0.01,1661.0776095105844,0.9414171668123213
100,20,31,0.01,3889.5039838883195,0.6787974650086149
100,10,31,0.01,3889.5039838883195,0.6787974650086149
100,-1,31,0.01,3889.5039838883195,0.6787974650086149
